sentence,id,year,HasGroup
"Dieser Trend ergäbe sich aus den ersten Auswertungen der bundesweiten ""Stunde der Gartenvögel"" vom vergangenen Wochenende, teilte der Nabu am Montag mit.",9121841,2007.0,"[[130, 138, 'HasGroup']]"
"Die Sozialdemokratie der Weimarer Republik, die doch Gründungspartei des Verfassungsbogens war, wusste nie, ob sie dafür oder dagegen war.",8660847,2007.0,"[[53, 90, 'HasGroup']]"
"Mit ihrem Antrag, das Problem als dringlich auf die Tagesordnung zu nehmen, scheiterten die Grünen allerdings im Landtag.",8687576,2007.0,"[[88, 98, 'HasGroup']]"
Auch andere Hirnpatienten zeigten nach Tumorerkrankungen oder Unfällen plötzlich eine starke Zuneigung für - oder eine starke Abneigung gegen Musik.,8622358,2008.0,"[[12, 25, 'HasGroup']]"
BGH-Urteil---Mieter muss Fernwärme zahlen---Der Vermieter einer Wohnung darf nach Umstellung der Beheizung auf Fernwärme die Wärmelieferungskosten grundsätzlich auf die Mieter umlegen.,8634694,2008.0,"[[13, 19, 'HasGroup'], [44, 71, 'HasGroup'], [165, 175, 'HasGroup']]"
"September 2001 wurde eigens eine Sondergruppe mit dem Namen ""Financial Action Task Force"" beim BND gegründet, um noch mehr über die Geldströme an terroristische Organisationen zu erfahren.---Bereits 1999 waren die deutschen Auslandsnachrichtendienstler davon überzeugt, dass in Liechtenstein Geld in großem Stile gewaschen wurde.",8642469,2008.0,"[[146, 175, 'HasGroup'], [210, 252, 'HasGroup']]"
Sie gewannen viele Zweikämpfe und stürzten die Polen von einer Verlegenheit in die andere.,8627819,2008.0,"[[43, 52, 'HasGroup']]"
"Ondaatje machte Billy sogar zum Dichter, einer Art Lord Byron des Westens.---Sicher ist nur, dass er im Gegensatz zu den meisten seines Standes schreiben konnte: Billys Briefe an den texanischen Gouverneur Lew Wallace (übrigens der Autor von „Ben Hur""), mit dem er über eine Begnadigung verhandelte, sind eloquent, und seine Schrift ist so schön, dass man davon träumen darf, was dieser Jüngling vielleicht hätte werden können, wenn er nicht frühzeitig elternlos in eine gewalttätige, rohe und unzivilisierte Welt geschleudert worden wäre.---Weblink:",8603259,2009.0,"[[453, 459, 'HasGroup']]"
"Abhilfe schafft ein telemedizinisches System, das Ingenieure des Berliner Medizintechnik-Unternehmens Biotronik um Hans-Jürgen Wildau entwickelt haben und das in die Endrunde zum Deutschen Zukunftspreis gekommen ist.---Der von Wildau und seinen Mitarbeitern entwickelte Herzschrittmacher enthält einen Minisender, der wichtige kardiologische Daten an ein spezielles Mobiltelefon schickt, das die Patienten in der Hosen- oder Jackentasche bei sich tragen.",8600563,2009.0,"[[50, 133, 'HasGroup'], [392, 405, 'HasGroup']]"
"„Bei der EM 2008 haben wir davon profitiert, dass Spieler wie Podolski oder Bastian Schweinsteiger in der Saison zuvor nicht regelmäßig gespielt haben.",8584094,2010.0,"[[50, 98, 'HasGroup']]"
"Er muss dorthin zurück, wo er herkam: in sein Betriebsratsbüro mit der surrealistischen Kunst an der Wand.---Dabei ist Franz, der gute Rotweine und Italien liebt, eigentlich kein Dröhner und Haudrauf.",8583191,2010.0,"[[174, 199, 'HasGroup']]"
"Der Hamburger SPD-Fraktionschef Michael Neumann rechnet mit einer „erheblichen finanziellen Belastung für die Stadt"".",8556195,2010.0,"[[14, 17, 'HasGroup']]"
"Nun ist eine sehr beliebte, aber gleichwohl unrichtige Volte, die strukturellen Probleme der übrigen Kulturbetriebe dagegen aufzurechnen.",8576757,2010.0,"[[89, 115, 'HasGroup']]"
Seit ihrer Hochzeit 2002 zählt das Paar zu den populärsten Persönlichkeiten in Holland.,8536180,2011.0,"[[43, 75, 'HasGroup']]"
"Bei der Eröffnungsfeier drohte ihn die Traurigkeit zu übermannen, alle anderen Spieler liefen mit ihren Frauen ein.",8539097,2011.0,"[[66, 86, 'HasGroup'], [98, 110, 'HasGroup']]"
"Außerdem verwischen seine Werke, vor allem jene, die ab Mitte der Siebziger Jahre entstanden sind, die Grenzen zwischen Fakt und Fiktion, Autobiografie und Roman, und sie tun das auf eine Weise, die bei anglophonen Lesern gerade ziemlich angesagt ist (dasselbe gilt übrigens für W. G. Sebald und das unterschiedliche Ansehen, das er auf den beiden Seiten des Atlantiks genießt, und den polnischen Journalisten Ryszard Kapuscinski).---Doch der allerwichtigste Grund für Bernhards ungemeine Popularität bei uns ist ein anderer: Wir sind, ganz anders als Leser anderswo, vertraut mit einer bestimmten Tonlage in der Literatur, die auch bei Bernhard zu hören ist.",8550205,2011.0,"[[203, 221, 'HasGroup'], [552, 557, 'HasGroup']]"
"So muss der Arbeitnehmer zwar im Krisenfall auf einen Großteil der Zuschläge verzichten und sich mit dem oft geringen Basislohn zufriedengeben, was zu hohen Ungleichgewichten beim Einkommen führt, andererseits aber ist er durch ein sehr strenges Arbeitsgesetz weitgehend vor Entlassung geschützt.",8521944,2012.0,"[[8, 24, 'HasGroup']]"
"Gesichert ist bislang nur, dass die Silikonkissen bei 19 Frauen gerissen sind - und glücklicherweise keine von ihnen an Krebs erkrankt ist.",8527625,2012.0,"[[54, 63, 'HasGroup']]"
Die exportabhängige Industrie blickt nach dem Ende der Rezession in der Euro-Zone nun so optimistisch nach vorn wie seit Juni 2011 nicht mehr.,8488517,2013.0,"[[0, 29, 'HasGroup']]"
Bei dem Konzern arbeiten in den Niederlanden und sieben europäischen Ländern rund 19.000 Menschen.,8484130,2013.0,"[[82, 97, 'HasGroup']]"
"Eine völlige Abschaffung des Instruments, das Steuerbetrügern den Weg zurück in die Steuerehrlichkeit erlaubt, stehe nicht zur Diskussion.",8479008,2014.0,"[[46, 61, 'HasGroup']]"
"""Was wir aber anstreben, ist ein Roboter mit Persönlichkeit, der auf eigenen Willen hin zum Glück einer Familie beitragen kann.„ Zu diesem Zweck sei der 121 Zentimeter große und 28 Kilogramm schwere Roboter mit modernster künstlicher Intelligenz und Stimmenerkennungstechnologie ausgestattet.",8472775,2014.0,"[[98, 111, 'HasGroup']]"
"Oder ist etwa die Bereitschaft zusammenzustehen, tatsächlich noch nicht so weit gewachsen wie erhofft?---Ein Schlaglicht auf den ""NSU und die Folgen„ hatte am Mittag eine Podiumsdiskussion im Depot des Kölner Schauspiels geworfen, nur ein paar Hundert Meter entfernt von dem Ort des Anschlags.",8473791,2014.0,"[[130, 133, 'HasGroup']]"
"Bis zu 400.000 Menschen wurden verschleppt, von denen in den nächsten 18 Monaten fast die Hälfte starben.",8479362,2014.0,"[[0, 23, 'HasGroup']]"
"Daran änderte auch die Aufdeckung der Affäre durch Kollegen, denen gegenüber Hoyzer mit seinen Untaten geprahlt hatte, nichts.",8469240,2014.0,"[[51, 117, 'HasGroup']]"
"Doch das galt nur für die Oberschicht, das Volk ließ es ständig filzen.",8474994,2014.0,"[[22, 37, 'HasGroup'], [39, 47, 'HasGroup']]"
"Diese Woche hat die Nato ein Sondertreffen abgehalten, auf dem die Türkei die Verbündeten über den Abschuss eines russischen Kampfflugzeuges informiert hat, das ihren Luftraum verletzt hatte.",5517426,2015.0,"[[74, 89, 'HasGroup']]"
"Richtig ist, dass die Kunst in unseren westlichen Museen sicher ist.",5511520,2015.0,"[[31, 56, 'HasGroup']]"
"Ohne diese Planungsgrundlage ist es jedoch kaum möglich, den Bedarf an Lehrkräften und weiteren Ressourcen rechtzeitig einzuschätzen.",5538367,2015.0,"[[71, 82, 'HasGroup']]"
"""Man nimmt keine Leute in die Jury auf mit Vorstrafen,"" sagte Georgetti.",5535790,2015.0,"[[11, 22, 'HasGroup']]"
"Stress setzt im Körper Entzündungsreaktionen in Gang, die in chronischen Krankheiten münden können - darunter Diabetes und Herz-Kreislauf-Leiden.---Orthopädie---50.000 Rückenpatienten jährlich unnötig geröntgt---Ärzte in Deutschland greifen nach einer Studie bei Rückenschmerzen vorschnell zum Röntgengerät.",5508314,2015.0,"[[161, 183, 'HasGroup'], [212, 232, 'HasGroup']]"
"Das Ausmaß des Flüchtlingszustroms hat uns alle überrascht, und Patentlösungen gibt es nicht.",5515524,2015.0,"[[15, 25, 'HasGroup']]"
"Damit Frauen und Männer gleichberechtigt leben, arbeiten und Kinder erziehen können"".",5535682,2016.0,"[[6, 12, 'HasGroup'], [17, 23, 'HasGroup'], [61, 67, 'HasGroup']]"
"Shanghai---Ölpreisverfall, Tumulte an Aktien-, Finanz- und Devisenmärkten, taumelnde Schwellenländer, schwächelnde Weltwirtschaft, Flüchtlingskrise - die Finanzminister der 20 wichtigsten Industrienationen (G 20) haben viel zu bereden auf ihrem Gipfel in Shanghai an diesem Wochenende.---Ob er schon einmal so viele Krisen auf einmal erlebt habe, wird  Viele andere Teilnehmer sind da weniger entspannt.",5516003,2016.0,"[[131, 141, 'HasGroup'], [353, 376, 'HasGroup']]"
"---Zwar gibt es in Venezuela auch Kredit- und Debitkarten, rund ein Drittel der Arbeiter und Angestellten gehört jedoch zum informellen Sektor, sie bekommen ihr Gehalt daher in bar.",5525167,2016.0,"[[76, 88, 'HasGroup'], [93, 105, 'HasGroup'], [120, 142, 'HasGroup']]"
"Zu wenig Basisdemokratie.---War das alles?---Zur Zeit unseres EU-Beitritts kamen Grüne aus dem Westen, die mithelfen wollten, eine einheitliche grüne Partei in Polen zu schaffen.",5497126,2016.0,"[[81, 86, 'HasGroup'], [126, 165, 'HasGroup']]"
"Außenminister ---Reisende sollten den Hinweisen zufolge in der Türkei besonders aufmerksam sein und ""Menschenansammlungen und Orte, an denen sich regelmäßig viele Ausländer aufhalten, möglichst meiden"".",5415923,2017.0,"[[17, 25, 'HasGroup'], [157, 172, 'HasGroup']]"
"Verbunden war das mit der Tatsache, dass die Betroffenen ihr privates Geld ausgeben mussten, ehe sie in den Genuss von staatlichen Hilfen kamen.",5420421,2017.0,"[[41, 56, 'HasGroup']]"
"Die Bürgerwehr blieb nur eine Drohung, stattdessen stellte der Geschäftsbesitzer wie viele Geschäfte in der Nähe von Lagern Sicherheitspersonal an die Tür.---Es gibt hier - und das mag das gute Abschneiden der AfD auch erklären - zudem sehr viele Inhaber deutscher Pässe, die als Spätaussiedler in den letzten 40 Jahren zugewandert sind.",5405661,2018.0,"[[0, 14, 'HasGroup'], [124, 143, 'HasGroup'], [206, 213, 'HasGroup'], [236, 336, 'HasGroup']]"
"Aber dass nun ständig wildfremde Leute auf sie zukommen und ein Foto mit ihr wollen, sei einfach ""verrückt"".---Quasi über Nacht ist Ocasio-Cortez zu einem neuen Star der politischen Linken geworden.",5458678,2018.0,"[[166, 188, 'HasGroup']]"
"Das ist eine eigenwillige Deutung, weil die Linkspartei sich gegen jede Migrationssteuerung ausspricht, in ihrem Programm ""offene Grenzen für alle Menschen"" fordert und Abschiebungen von abgelehnten Asylbewerbern ablehnt.",5447842,2018.0,"[[40, 55, 'HasGroup'], [187, 212, 'HasGroup']]"
CSU-Chef Markus Söder hat den Machtkampf um die Verteilung der EU-Spitzenposten scharf kritisiert und eine rasche Einigung gefordert.,5447714,2019.0,"[[0, 3, 'HasGroup']]"
"Auch mehrere Zeitungskioske brannten aus.---Die Plünderer warfen Kleidungsstücke und Kaffeehausmobiliar auf brennende Barrikaden, wie Reporter der Nachrichtenagentur AFP berichteten.",5436483,2019.0,"[[44, 57, 'HasGroup'], [134, 169, 'HasGroup']]"
"Die wirkt ja über den Steuersatz: Man profitiert umso stärker, je höher der Steuersatz ist.---Nun sind aber auch viele Normalverdiener vor allem auf dem Land auf die Pendlerpauschale angewiesen, wenn Benzin teurer wird.---Deswegen ist unser Vorschlag ja, dass Einnahmen aus dem CO2-Preis zu 100 Prozent und zu gleichen Teilen an die Bürgerinnen und Bürger zurückgegeben werden.",5431615,2019.0,"[[113, 157, 'HasGroup']]"
Für PiS und Fidesz ist Montesquieus Gewaltenteilung ein Ausdruck westlichen Weicheiertums und die Suche nach dem demokratischen Kompromiss ein Fetisch der Aufklärung.,5475054,2020.0,"[[4, 7, 'HasGroup'], [12, 18, 'HasGroup']]"
"Das Gros der Befragten berichtete von einer Verbesserung der individuellen ökonomischen Verhältnisse, rechnet sich der Mittelschicht zu und geht auch für die kommenden Jahre von Einkommensverbesserungen aus.",5485117,2021.0,"[[115, 132, 'HasGroup']]"
"Der sozialistische Machthaber Nicolás Maduro, der mit außergerichtlichen Hinrichtungen, Folter und korrupten Generälen seine brutale Narco-Diktatur aufrechterhält, sitzt nach der in sich zusammengefallenen Strategie der USA und Europas mit dem glücklosen Oppositionsführer Juan Guaidó wieder fest im Sattel.",5488846,2021.0,"[[99, 118, 'HasGroup'], [255, 265, 'HasGroup']]"
""", fragte der oberste Interessenvertreter der Händler rhetorisch.",5484193,2021.0,"[[42, 53, 'HasGroup']]"
"Inwieweit Patienten mit Beschwerden gezögert haben, sich untersuchen zu lassen, oder ob es aus Kapazitätsgründen zu weniger Untersuchungen kam, könne die Krankenkasse aufgrund fehlender Daten nicht beantworten.",5486298,2021.0,"[[10, 35, 'HasGroup']]"
Doch auch viele ostdeutsche Abgeordnete plädieren für eine Impfpflicht ab 18 - nämlich 22 Prozent.,8459156,2022.0,"[[10, 39, 'HasGroup']]"
"Ein Gespräch mit Meltem Kaptan über unterschätzte Mütterlichkeit, ihren Heimatort Harsewinkel und die Sehnsucht nach Ernsthaftigkeit.",8458822,2022.0,"[[50, 56, 'HasGroup']]"
Die Situation hat sich den Wissenschaftlern zufolge seit 2015 nicht verbessert.,8456030,2022.0,"[[23, 43, 'HasGroup']]"
"Vanopslagh war einst Parteivize der Liberalen, Ex-Ministerpräsident Rasmussen ihr Parteichef.",8451154,2022.0,"[[32, 45, 'HasGroup']]"
Die nach ihr benannten Indizes Nasdaq Composite und Nasdaq 100 sind gerade für jüngere Anleger zentrale Bezugspunkte bei der Geldanlage.,8448175,2023.0,"[[79, 94, 'HasGroup']]"
"Vorbei sind die Zeiten, als polnische Politiker in sicherheitspolitischen Fragen Führung von Deutschland forderten.",8449453,2023.0,"[[28, 47, 'HasGroup']]"
"Mit seinen stets schwarz-weißen, grobkörnigen und atmosphärisch dichten Arbeiten dokumentiert er die Folgen des Klimawandels für die Bauern, Fischer und Jäger, die am Rand der bewohnbaren Welt leben.",8447263,2023.0,"[[129, 198, 'HasGroup']]"
"Ich denke ein oder zwei Blackout 's und Winter mit kalten Wohnungen, mit zusammenbrechenden Infrastrukturen und Arbeitsmärkten werden ausreichen um aus den jungen ""Woken"" wirklich Erwachte zu machen.",8453488,2022.0,"[[152, 170, 'HasGroup'], [180, 188, 'HasGroup']]"
"Sage da noch einer, die Hertha-Bosse bekämen nichts auf die Reihe.",8524845,2012.0,"[[20, 36, 'HasGroup']]"
Die Soldaten wirken - bei aller Professionalität - wie ein bunt zusammengewürfelter Haufen.,4668034,2015.0,"[[0, 12, 'HasGroup']]"
"Damals ging es der Autoindustrie schlecht, und deren Lobby hat mächtig Druck auf die Regierung gemacht.",4715857,2015.0,"[[15, 32, 'HasGroup'], [47, 58, 'HasGroup']]"
---  Oder die ohne Kinderbetreuung?,4663746,2015.0,"[[19, 25, 'HasGroup']]"
"So sahen sie sich im Auftrag des preußischen Königs der Grundlagenforschung im universalwissenschaftlichen Sinne Humboldts verpflichtet, doch sie mussten auch die Interessen ihrer britischen Auftraggeber befriedigen, denen die praktische Anwendbarkeit der Ergebnisse wichtig war.",4541078,2015.0,"[[174, 203, 'HasGroup']]"
"Im hautengen Kleid marschiert Cynthia Barcomi auf Pumps durch ihr Deli in Berlin-Mitte, eines von zwei Geschäften in Berlin, in denen die Kunden regelmäßig Schlange stehen für Brownies und Bagels.",4518998,2015.0,"[[134, 144, 'HasGroup']]"
"Um sie davor zu schützen wird eine Gruppe von Kindern aus der Großstadt evakuiert, angeführt von der Lehrerin Eve Parkins.",4666177,2015.0,"[[30, 53, 'HasGroup']]"
"---  Diesem Umfeld entspringt die Hügeljugend, die aus einigen Dutzend bis einigen Hundert Menschen bestehen soll.",4494280,2015.0,"[[30, 113, 'HasGroup']]"
Yen-Kredite sind bei Ausländern mindestens so beliebt wie die in Franken.,4765249,2015.0,"[[21, 31, 'HasGroup']]"
"Berufsintegrationsklassen gebe es nur in Bayern: Heuer sei der erste Jahrgang fertig und in Ausbildung vermittelt worden, die zum Teil ebenfalls mit Kursen assistiert werde.",4787850,2015.0,"[[0, 25, 'HasGroup']]"
"Als man noch wegen Diebstahl gehängt wurde, waren die kleinen Taschendiebe besonders gerne direkt unter dem Galgen aktiv bei den Schaulustigen.",4579476,2015.0,"[[50, 74, 'HasGroup'], [125, 142, 'HasGroup']]"
"Am Mittwoch ließen die beiden ihr Kind bei Farooks Mutter zurück und gaben an, zum Arzt zu müssen, stattdessen fuhren sie in Kampfmontur in das Behindertenzentrum im nahegelegenen San Bernardino zur Weihnachtsfeier von Farooks Arbeitgeber und erschossen 14 Menschen.",4537943,2015.0,"[[144, 155, 'HasGroup']]"
"In den vergangenen Jahren seien zahlreiche namhafte Wettbewerbe auf dem 2200 Meter langen Wasserbecken ausgetragen worden, darunter im Juli 2014 die Euro Masters Regatta, mit 2000 Startern aus 32 Nationen die weltweit größte Ruderveranstaltung dieser Saison.",4694763,2015.0,"[[175, 188, 'HasGroup']]"
"Für die Beschäftigten der Tochterfirma ,,DB Dienstleistungen"" galt bisher ein eigener Tarifvertrag mit niedrigeren Gehältern als im restlichen Konzern, der Ende November auslief.",4674286,2015.0,"[[4, 61, 'HasGroup']]"
"Die Milipol ist eine der wenigen Veranstaltungen, bei der die Warteschlange für die Herrentoilette länger ist als bei den Damen.",4516909,2015.0,"[[84, 90, 'HasGroup'], [118, 127, 'HasGroup']]"
",,Das System bleibt unverändert für Touristengruppen"", sagte der Sprecher des Außenministeriums, Badr Abdelatty, der Nachrichtenagentur Reuters, aber Einzelreisende müssten ihre Visa vorab bei der jeweiligen ägyptischen Botschaft oder einem Konsulat beantragen.",4619041,2015.0,"[[36, 52, 'HasGroup'], [150, 164, 'HasGroup']]"
"Ein Modell, das auf Egoismus und Entsolidarisierung baut, um für kleine Berufsgruppen auf Kosten anderer Arbeitnehmer mehr durchzusetzen.",4670761,2015.0,"[[65, 85, 'HasGroup'], [97, 117, 'HasGroup']]"
"---      ---Die Naturfreunde Wolfratshausen wandern am Sonntag, 8.",4591094,2015.0,"[[12, 28, 'HasGroup']]"
"Abgesehen davon, dass es ihm wohl eher um seinen eigenen Spaß als um den der geprellten Fans geht, werden seine Sorgen um die Attraktivität der Bayern-Spiele vom Rest der Bundesliga geteilt - jedoch aus anderer Perspektive.",4493962,2015.0,"[[88, 92, 'HasGroup']]"
"Sie hält Anteile an den Zeitungen, kontrolliert mehrere Fernsehsender, mischt in der Unterhaltungsindustrie und im Sportmarketing mit und ist mit der Atomwirtschaft verbandelt.",4487434,2016.0,"[[20, 33, 'HasGroup'], [48, 69, 'HasGroup'], [81, 107, 'HasGroup'], [112, 129, 'HasGroup'], [146, 164, 'HasGroup']]"
"---  Zu den wenigen überlieferten Dokumenten gehört neben 28 Fotos aus dem Oval Office und diversen Memoranden der Mitarbeiter des Weißen Hauses auch ein Brief, in dem Presley dem Präsidenten seine Hilfe im Kampf gegen die Verwahrlosung der Jugend durch Drogen anbot.",2720246,2016.0,"[[111, 144, 'HasGroup'], [237, 247, 'HasGroup']]"
Ein Teilaspekt ist die Förderung von Frauen in Führungspositionen.,2632362,2016.0,"[[37, 65, 'HasGroup']]"
Die Fachleute der DRV halten davon aber wenig.,4704074,2016.0,"[[0, 21, 'HasGroup']]"
"Doch die Parteien im Rathaus verweisen bisher lediglich darauf, dass der Bund und der Freistaat erst rechtliche Voraussetzungen schaffen müssten, um Fahrverbote oder etwa eine City-Maut---umzusetzen.---  Das ärgert auch Christian Hierneis, den Stadtvorsitzenden des Bund Naturschutz (BN).",2774287,2016.0,"[[5, 28, 'HasGroup'], [262, 287, 'HasGroup']]"
"Ein unbekannter Räuber hat es offenbar auf Bäckereien und Lotto-Annahmestellen abgesehen: Innerhalb weniger Tage hat der maskierte Täter in München fünfmal versucht, Geld zu erbeuten.",2628592,2016.0,"[[43, 53, 'HasGroup'], [58, 78, 'HasGroup']]"
"Beide engagierten sich danach in einer örtlichen Bürgerinitiative, die von Neonazis unterwandert wurde.",2683415,2016.0,"[[33, 102, 'HasGroup']]"
",,Kicklusion"" machte Station in der Innenstadt - ein Fußball-Projekt, bei dem Kinder mit und ohne Behinderung gegen einander antreten.",2756501,2016.0,"[[78, 109, 'HasGroup']]"
Das Bundesteilhabegesetz sorgt gerade zu Beginn für eine aufgeregte Debatte unter den Parlamentariern.,2626160,2016.0,"[[82, 101, 'HasGroup']]"
Er möchte im von ihm gemeinten Sinn vom Zuhörer verstanden werden.,4423223,2016.0,"[[36, 47, 'HasGroup']]"
"Und einen Haufen grinsender junger Männer, die eine Bronzemedaille um den Hals baumeln haben.",2753196,2016.0,"[[4, 92, 'HasGroup']]"
"Es gibt Vorträge, Kurse und Führungen sowie ein großes Angebot für kreative Menschen.",2588779,2016.0,"[[67, 84, 'HasGroup']]"
"Dem Zusammenhang von Lernstörungen und anderen Symptomen solle in weiteren Studien nachgegangen werden, fordern auch die Duden-Experten.",2586532,2016.0,"[[117, 135, 'HasGroup']]"
