id,text,outlet,country,year,labels,categories
8502,"Arrivé au pouvoir en 2002, l’AKP a poursuivi sur cette lancée, en facilitant l’application de la convention européenne des droits de l’homme par la justice turque et en consacrant l’égalité hommes-femmes ainsi que l’abolition de la peine de mort par une autre révision constitutionnelle, adoptée en 2004.",MondeDiplo,France,2017,politicians and high-ranking officials,profession
1198,Bewerber auf Landeslisten von Parteien dürfen künftig nicht mehr Mitglied einer anderen Partei sein.,Welt,Germany,2008,politicians and high-ranking officials,profession
6011,"Wie damals, als wir Schülerinnen waren.« ---Helfer webt die gemeinsame Adoleszenz clever in die Schreibgegenwart ein.",Spiegel,Germany,2023,"minors, including children and pupils;women",age_and_family_status;identities
2738,---  Ganz anders hat CSU-Fraktionschef Wirthl das Gespräch in Erinnerung.,SZ,Germany,2015,politicians and high-ranking officials,profession
1722,"Die Grünenpolitikerin musste ihren Antrittsbesuch in Australien, Neuseeland und auf Fidschi absagen   und das in Zeiten chinesischer Muskelspiele im Indopazifik.",Spiegel,Germany,2023,politicians and high-ranking officials,profession
7835,"Zudem fordert der Ex-Bayern-Star von seinen Spielern die Bodenständigkeit, die er selbst vorlebt.---Auch deshalb stört ihn die Frage nach dem Risiko, die seine Verpflichtung wegen seiner fehlenden Erfahrung als Profi-Trainer birgt, gar nicht.---""Risiko gibt es immer.",Bild,Germany,2022,athletes,profession
3027,"Elles sont toujours indiquées en russe, même si la population russe quittait peu à peu la ville, davantage en raison des difficultés économiques nées du blocus de Moscou que de l'hostilité des Tchétchènes.",Monde,France,1995,,
6168,"Die Kabinettsmitglieder müssten künftig eben häufiger mal Linie fliegen.---Baerbock wird demnächst womöglich öfter am Passagiergate anzutreffen sein.---»Uns würde interessieren, wie Sie be­absichtigen, diese Herausforderungen zu bewältigen.«---Aus einem Brief des Auswärtigen Amts an die Flugbereitschaft",Spiegel,Germany,2023,politicians and high-ranking officials,profession
6392,"Eine Ehe wird aufgekündigt, eine junge Frau geächtet, weil die Briefe eines längst aus ihrem Leben verschwundenen Liebhabers entdeckt werden.",Zeit,Germany,1995,,
5041,La Maison de la pêche et de la nature propose aux 8/16 ans de se familiariser avec le milieu aquatique par le biais de la pêche.,Parisien,France,2000,"minors, including children and pupils",age_and_family_status
7530,"Damit gäben sie der Ukraine die Möglichkeit, eventuell vorhandene Spuren zu verwischen und Verantwortliche zu schützen.",Spiegel,Germany,2023,,
5101,"Guy Dupuis, ancien préfet des Côtes-d'Armor, ancien membre du PS, vient d'être nommé trésorier-payeur général dans la Meuse.",Monde,France,1995,politicians and high-ranking officials,profession
4986,"Au logement, Mme Anneli Taina (conservateur) remplace Mme Pirjo Rusanen (du même parti).",Monde,France,1995,politicians and high-ranking officials,profession
9279,"Martine Aubry, première secrétaire du PS, a jugé jeudi que Valérie Trierweiler, compagne du président François Hollande, devait être «plus discrète».",Liberation,France,2000,politicians and high-ranking officials,profession
9261,"Dans un communiqué, Edouard de Rothschild évoque «certains actionnaires historiques» mais aussi «de nouveaux actionnaires qui font leur entrée parmi lesquels des professionnels du Monde des médias».",Liberation,France,2000,"capital owners, investors and shareholders",socio_economic_position
7237,"---Nach den EU-Regeln für die Bankenabwicklung müssen zunächst Eigentümer (Aktien und Rücklagen), Anleihegläubiger und Kundeneinlagen oberhalb von 100 000 Euro Verluste in Höhe von 8 Prozent der  Bilanzsumme abdecken.",FAZ,Germany,2021,"CEOs and corporate leaders;capital owners, investors and shareholders;consumers and clients;entrepreneurs",labor_market_position;social_roles_and_behavior;socio_economic_position
863,"Das Statistische Bundesamt berücksichtigt Tarifabschlüsse in dem Index erst dann, wenn die  höheren Löhne an die Arbeitnehmer ausgezahlt werden.",FAZ,Germany,2021,wage and salary earners,labor_market_position
47,"Er sieht so täuschend echt aus, dass er bei vielen Besuchern für Staunen sorgt zuweilen mehr als die Mumie selbst, die auch nur durch ein Fenster von der Größe einer Gehwegplatte zu betrachten ist.---Fortan dürften einige Gäste mit Zweifeln vor der Rekonstruktion stehen, wohl auch wegen der neuen Erkenntnisse zu Ötzis Haarpracht.",Spiegel,Germany,2023,consumers and clients,social_roles_and_behavior
948,---  Vor allem die CSU will Unternehmen trotz der Vorgaben aus Karlsruhe weitgehend von der Erbschaftsteuer befreien.,SZ,Germany,2016,politicians and high-ranking officials,profession
7943,Bisher wurden sie von den italienischen Gemeinden großzügig ver­geben: Für oft sehr niedrige Preise durften Familien aus den Küsten­orten die Bäder jahrzehntelang betreiben.,Spiegel,Germany,2023,parents and families,age_and_family_status
9572,"Zinsen sind als Früchte angelegten Kapitals genauso einkommensteuerpflichtig wie die Löhne der Arbeiter, die Gehälter der Angestellten und Beamten, die Gewinne der Gewerbetreibenden oder der Freiberufler und die Mieteinnahmen der Wohnungsvermieter.",Zeit,Germany,1995,civil servants;real-estate owners;self-employed and freelancers;wage and salary earners,labor_market_position;real_estate_ownership
9276,"Ce fut chose faite, contre l'avis de la droite.",Liberation,France,1999,politicians and high-ranking officials,profession
8000,Und die letzten Mieter waren die Saboteure.,Spiegel,Germany,2023,"offenders, criminals, prisoners and/or accused people;tenants",real_estate_ownership;social_deviance
656,"Nirgendwo findet sich der Nachweis, daß sich die Beamten überdurchschnittlich oft - ""deutliches Muster""!",Zeit,Germany,1995,civil servants,labor_market_position
9197,"Il n'en reste pas moins qu'après l'annulation par le Conseil constitutionnel du système de sanctions collectives inscrit dans la loi de finances de la Sécu, la ministre de la Solidarité se trouve dépourvue d'outils propres à freiner les ardeurs des médecins trop dépensiers.",Liberation,France,1999,doctors,profession
3685,"A Faisalabad (est du pays), on a dénombré davantage d'électeurs que d'habitants en âge de voter.",Figaro,France,2002,,
6149,Heute ist Genovesi einer der beliebtesten Auto­ren Italiens.,Spiegel,Germany,2023,authors and artists,profession
7088,"Der Slogan ist eine Reaktion weißer Rassisten in den USA auf die Black-Lives-Matter-Bewegung, die 2013 nach den tödlichen Schüssen auf den Afroamerikaner Trayvon Martin gegründet wurde.",Bild,Germany,2022,,
7583,"Man darf folgern: Hätte der Konzern seine Werbung auf den niedrigen Instinkt konzentriert, einen Sweater möglichst billig zu erwerben, so hätten die Sittenwächter von Karlsruhe keinen Anstoß genommen.",Zeit,Germany,1995,legal professionals,profession
4666,"» Florence a rejoint l'équipe d'Internet Solution, une entreprise qui crée des « sites » pour d'autres sociétés : « Je dois m'occuper du contenu rédactionnel, mais aussi écrire les dossiers de presse que nous envoyons aux journalistes, ou bien encore réactualiser les informations » explique-t-elle.",Parisien,France,2000,journalists,profession
8797,"Ensuite, le projet Blum-Viollette vise, en 1936, à octroyer la citoyenneté française à un peu plus de 20 000 musulmans (sur plusieurs millions !",MondeDiplo,France,2001,Muslims,identities
3466,Seniors poids léger.,Parisien,France,2000,,
1254,"Damit Thaksin nach Hause kann.«---Gemeint ist Thaksin Shinawatra, ehemaliger Premier und einer der einflussreichsten und zugleich umstrittensten Köpfe der thailändischen Politik.",Spiegel,Germany,2023,politicians and high-ranking officials,profession
1370,Auch das sieht das Ministerium anders: Die USA befänden sich in einem bewaffneten Konflikt mit al-Qaida - und damit auch mit dessen Ableger in Somalia.,SZ,Germany,2016,"terrorists, rebels, revolutionaries and/or movements of armed resistance",social_deviance
6717,"»Die Menschen sollten wenigstens eine Chance kriegen, sich über ihre Motive bewusst zu werden.«---Schwarzer wirkt ernsthaft besorgt: »Ich höre immer wieder, dass moderne junge Frauen, die in queeren Kreisen verkehren, sich heute eher trans als lesbisch nennen.« Früher hätten Feministinnen jene Mädchen, die ­keine Lust auf rosa Tüll hatten, dazu ermutigt, sich jungenhafte Freiheiten zu nehmen.",Spiegel,Germany,2023,"minors, including children and pupils;women;youth, including students and apprentices",age_and_family_status;identities
4672,"---Quant aux créateurs de virus, qu'ils ne se croient pas à l'abri de poursuite.",Figaro,France,2002,,
218,"Der Tarifindex gibt den  Durchschnitt der Lohnentwicklung an, auf die sich Gewerkschaften und Arbeitgeber in ihren regulären Tarifverhandlungen verständigt haben.",FAZ,Germany,2021,employers;wage and salary earners,labor_market_position
1006,"Das illustre Trio Gerd Anthoff, Conny Glogger und Michael Lerchenberg, alle gleichermaßen bekannt vom Theater wie aus dem Fernsehen, hat selbst so viel Spaß auf der Bühne, dass es das Publikum in der voll besetzen Loisachhalle unweigerlich ansteckt.",SZ,Germany,2017,consumers and clients,social_roles_and_behavior
3609,"Destiné à noter le corps des juges internationaux tout au long de l'année, et accessoirement à leur interdire d'assister aux entraînements privés des compétiteurs, voire de les ' conseiller ' sur leurs programmes, ce projet, selon Didier Gailhaguet, expliquerait l'acharnement du Comité technique de l'ISU à son égard.---' Mes propositions ont été repoussées par ceux-là mêmes qui donnent aujourd'hui des leçons de morale, mais je vais me faire le leader de ce projet avec l'appui des pays qui m'ont manifesté leur soutien, prévient le président de la FFSG.",Figaro,France,2002,athletes,profession
4345,"Quand il le faut, elle sait être énergique, provoquer la jubilation chez ses auditeurs : ses Variations Abegg, de Schumann, sont d'une virtuosité ailée, mises en scène avec un art transcendant du fondu-enchaîné.",Monde,France,1995,,
3112,"Toyota a terminé en hausse de 20 yens à 3 520 yens, Mazda a gagné 9 yens à 393 yens et Nissan a progressé de 6 yens à 994 yens.---Nomura Holdings a terminé en hausse malgré l'annonce jeudi d'une chute de 43,4 % de ses bénéfices en 2001-2002, les investisseurs étant rassurés par le fait que le groupe reste bénéficiaire.",Figaro,France,2002,"capital owners, investors and shareholders",socio_economic_position
6482,"Über die Plattform schaltet er für seine knapp 580 000 Fans Werbung und veröffentlicht private Fotos.---2022 brachte Niklas mit seinem Streaming-Kollegen  Elias Nerlich  und dem ehemaligen Profifußballer  Sidney Friede  das Vitaminwasser ""Vitavate"" auf den Markt.",Bild,Germany,2022,,
8527,« L’AECG vise avant tout à instituer entre les pays les plus développés une procédure de protection des investisseurs.,MondeDiplo,France,2016,"capital owners, investors and shareholders",socio_economic_position
838,Wir haben aber der CDU etwa beim Thema innere Sicherheit große Freiheiten gelassen.,FAZ,Germany,2021,politicians and high-ranking officials,profession
5309,"Mais nous, les Allemands, nous ne sommes malheureusement pas en mesure, et les Français non plus, de faire des tournures subtiles de la langue anglaise l'objet de la philosophie.",Monde,France,1995,,
2084,"Es entspricht traditioneller und legitimer Position, daß Parlamentarier wie Kassebaum und Hamilton die Vereinten Nationen für ein unverzichtbares ""Instrument"" der amerikanischen Außenpolitik halten.",Zeit,Germany,1995,politicians and high-ranking officials,profession
6829,"Eine Vorstellung, an die man sich als Fan gewöhnen kann.---Weblink:",Bild,Germany,2022,,
9090,"Depuis le 30 mars, la frontière entre la bande de Gaza et Israël est le théâtre de manifestations contre le blocus israélien et pour le «droit au retour» des Palestiniens chassés de leurs terres ou qui ont fui à la création d'Israël en 1948",Parisien,France,2018,,
676,"Wie die  Abwehr des Flüchtlings-Menetekels zum vorsorglichen Verschweigen der Herkünfte führte, so setzt die Enthüllung dieses Verschweigens nun auch solche Aha-Effekte frei, die in die Irre führen -  immer dort, wo genaue Belegarbeit durch politische Stimmungsmache ersetzt wird.",FAZ,Germany,2021,"people with an immigration background, including immigrants",identities
2229,",,Wir sehen uns gestärkt durch das Vertrauen der Aktionäre', sagt Schäfer, ,,die in einer überwiegenden Zahl unserem Votum gefolgt sind und das Übernahmeangebot nicht angenommen haben.'",SZ,Germany,2018,"capital owners, investors and shareholders",socio_economic_position
3038,Les volontaires ont reçu l'ordre de s'éloigner des fenêtres Les volets ont été fermés.,Figaro,France,2002,,
7690,"Lediglich Dominik Pelders (Grüne) stimmte gegen die erneuerte Forderung, da der komplett barrierefreie Zugang weiterhin nur über den Lift am Orleansplatz erfolgen könne.",SZ,Germany,2016,politicians and high-ranking officials,profession
1439,"Wenn Kühnert in den sozialen Netzwerken über ihr Leben als trans Frau spricht, verfolgen das Zehntausende.",Spiegel,Germany,2023,LGBTQIA+;women,identities
2459,"Außerdem könne er damit die vielen Ausgabewünsche auch von Parteifreunden begrenzen.---Drastischste Gefahrenmeldung---""Die 200 Milliarden sind ein Preisschild für Maßnahmen, die noch nicht ausformuliert sind"", warnt Wirtschaftskenner Merz.",Bild,Germany,2022,politicians and high-ranking officials,profession
230,Aus seiner Sicht hat Europa ein Interesse an der Rückkehr dieser Menschen in ihre syrische Heimat.---  Merkel und Putin sprachen in Meseberg zunächst einige Minuten unter vier Augen miteinander.,SZ,Germany,2018,"people with an immigration background, including immigrants",identities
9536,Der überhitzte Markt produziert immer mehr Obdachlose.,SZ,Germany,2017,homeless,real_estate_ownership
7403,"Was die Macher nicht daran gehindert hat, den Film auf Twitter weiter zu verbreiten.",Bild,Germany,2022,authors and artists,profession
7111,"Auch auf dem Land können Menschen offenbar mittlerweile zumindest teilweise auf das Auto verzichten.---Den Daten zufolge ist Montag der beliebteste Homeoffice-Tag, bundesweit sind dann zehn Prozent weniger Autos unterwegs als noch 2019.",Spiegel,Germany,2023,,
4681,"A la fin de leurs travaux, les femmes présentes prêtent serment sur le Coran et l'Evangile de boycotter toute leur vie les Juifs et ceux qui auraient des relations avec eux, fussent leurs maris ou leurs frères ; avant de se disperser, elles défilent en voiture dans les grandes artères de Jérusalem. '",Figaro,France,2002,Jews;Muslims;women,identities
5530,Soupé d'entendre la brune Aubry et la blonde Guigou croasser sur le sort des travailleurs.,Figaro,France,2002,wage and salary earners,labor_market_position
2108,"Iglesias, der damit wieder dem Urteil seines Parteigenossen Juan Carlos Monedero, ein ""liebenswürdiger Leninist"" zu sein, gerecht geworden sein  dürfte, setzte aber nicht nur ab, sondern ernannte als Nachfolger den erklärten ""Antikapitalisten"" Pablo Echenique vom linkesten Podemos-Flügel.",FAZ,Germany,2021,politicians and high-ranking officials,profession
2200,Zu den aktuell 2000 Mitarbeitern in München sollen weitere Hunderte kommen.---Nach BILD-Informationen will der Freistaat BayernApple ein Grundstück an der Seidlstraße 15 verkaufen.,Bild,Germany,2022,wage and salary earners,labor_market_position
2686,"Im SDax, der gemessen am Börsenwert noch ""kleinere"" Aktien versammelt, beträgt das Minus sogar 23 Prozent.---""Schuld an der Schwäche ist die allgemeine Flucht der Investoren aus dem Risiko.",Welt,Germany,2008,"capital owners, investors and shareholders",socio_economic_position
4542,"Le DJIA était repassé vendredi dernier sous les 10 000 points pour la première fois depuis le 22 février.---L'activité a été soutenue en ce début de mois, avec 1,44 milliard d'actions échangées à Wall Street et 2,14 milliards sur le Nasdaq.---La reprise a été purement technique à Wall Street, avec 28 des 30 valeurs vedettes en hausse, alors que les investisseurs restent préoccupés par la fragilité de la reprise de l'économie américaine et son impact sur les résultats des sociétés.---De son côté, le Nasdaq a été tiré à la baisse par Sun Microsystems, qui a chuté de 14,79 %, à 6,97 dollars, après la démission du numéro deux du groupe informatique américain.---La publication dans la matinée de statistiques économiques plus faibles que prévu avait fait plonger les indices, qui ont ensuite opéré une reprise graduelle.---Au plus fort de la baisse dans la matinée, le Nasdaq reculait de 2,66 % et le DJIA de 1,16 %.---Sur le marché obligataire, le rendement de l'obligation du Trésor à 10 ans a reculé à 5,068 % contre 5,091 % mardi et celui de la ligne à 30 ans à 5,568 % contre 5,599 %.",Figaro,France,2002,"capital owners, investors and shareholders",socio_economic_position
8991,"« Ces résultats doivent d'ores et déjà renforcer la vigilance que l'on doit avoir pour les produits biologiques humains et bovins destinés à l'usage thérapeutique », estime, pour sa part, le docteur Dominique Dormont, président du comité des experts français des maladies à prions.",Monde,France,2003,scientists and professors,profession
210,Schmidbauer fühlt sich wohl in der Welt der Funsportler.,Spiegel,Germany,2023,athletes,profession
1922,",,Der Wissensstand vieler Kinder und Jugendlichen war erstaunlich', freute sich Stiel.",SZ,Germany,2018,"minors, including children and pupils;youth, including students and apprentices",age_and_family_status
4203,» La communauté de communes de Dammartin lance jusqu'à mardi un sondage sur le commerce local auprès de ses neuf mille foyers.,Parisien,France,2000,,
2274,"Insbesondere die Parkplatzsituation sollten die Teilnehmer bei ihrer Zeitplanung berücksichtigen, denn innerhalb Feldafings sind Kfz-Stellplätze rar.",SZ,Germany,2016,consumers and clients,social_roles_and_behavior
8346,"Heureusement, par rapport au printemps, les médecins traitants y entrent encore ».",Mediapart,France,2020,doctors,profession
6857,"In Somalia herrschte damals allerdings kein bewaffneter Konflikt - so jedenfalls sehen es die Kläger, durchaus im Einklang mit vielen Völkerrechtlern.",SZ,Germany,2016,legal professionals,profession
1510,"Hamburgs Herz schlägt wieder für den HSV!---10 000 Fans reisten mit nach Hannover, 57 000 Zuschauer sorgen Samstag gegen Lautern (20.30 Uhr) für ein ausverkauftes Volksparkstadion.",Bild,Germany,2022,,
5816,Die Medienchefs fielen auf die ziemlich offensichtliche Gazprom-Ente herein und hielten still.,Welt,Germany,2008,CEOs and corporate leaders,labor_market_position
6565,"In der Übergangszeit sollten Schulen das Geld bekommen, andere Fachkräfte einzustellen.",Bild,Germany,2022,teachers and educators,profession
7026,"Johnny Depp (59, ""Fluch der Karibik"") verspricht: Jeder Thüringer, der sich stechen lässt, kann ein ganz persönliches Accessoire von ihm gewinnen.---Mein Hut für Blut!---Den Filz-Fedora mit rotem Tuch, weißer Kette und Feder ließ der von Indianern abstammende US-Schauspieler vom spanischen Hutmacher Pablo anfertigen, trug ihn u. a. auf seiner Europa-Tournee mit Gitarrist Jeff Beck (78) vergangenen Sommer.",Bild,Germany,2022,Ethnic and racial minorities,identities
4408,Difficile de se frayer un passage entre les passes survoltées et les acrobaties sensuelles des couples de danseurs.,Parisien,France,2000,,
4937,Leur position est de plus en plus difficile à tenir.---N'est-ce pas le cas des parents ?---Les parents de ces adolescents violents vivent effectivement dans un très grand désarroi.,Figaro,France,2002,"parents and families;youth, including students and apprentices",age_and_family_status
4973,"Des pays où l'on retrouve chaque fois l'un des huit frères aux commandes des affaires familiales.---L'an dernier, A'Famosa Resort, qui emploie un millier de personnes, a accueilli 1,2 million de clients, à 80 % des Malaisiens.",Figaro,France,2002,wage and salary earners,labor_market_position
1315,"Die Auszeichnungen werden heuer nach den neuen Statuten vergeben, die Sportreferent Benedikt Brustmann (Bürgervereinigung) zum Ende seiner Amtszeit  mit den Vereinen entwickelt hatte.",SZ,Germany,2016,,
3474,L'ONF et la préfecture recommandent malgré tout aux promeneurs la plus grande prudence.,Parisien,France,2000,,
8825,Ces années furent également marquées par des bouleversements au sein de la communauté juive américaine.,MondeDiplo,France,2002,Jews,identities
1729,"Mit der Öffnung  für Fintechs sollen die Kunden der Bank nun deren Geschäftsideen nutzen können, ohne dass sie der Bank den Rücken kehren müssen.",FAZ,Germany,2021,consumers and clients;entrepreneurs,labor_market_position;social_roles_and_behavior
9453,"« Peu importe que l'on gagne ou pas, le principal c'est que l'on aide les SDF et que l'on ait influencé les autres », ajoute Yasmine, 13 ans, tout en préparant les casse-croûte au thon.",Parisien,France,2018,homeless,real_estate_ownership
338,"Sie widerlegen genau das, weil die Letzte Generation eben auf gewaltfreien Protest setzt und nicht mit der RAF oder anderen wirklich staatsfeindlichen Gruppierungen zu vergleichen ist.",Spiegel,Germany,2023,"terrorists, rebels, revolutionaries and/or movements of armed resistance",social_deviance
4594,"Dans l'esprit de beaucoup de ses anciens admirateurs, il reste le chef d'état-major sous le commandement duquel des soldats abandonnèrent leur poste tant face au Hezbollah, au Liban du Sud, que face au Mouvement de la résistance islamique (Hamas), près de la colonie de Netzarim, dans la bande de Gaza.",Monde,France,1995,"soldiers;terrorists, rebels, revolutionaries and/or movements of armed resistance",profession;social_deviance
5734,"Sein Tod wurde zum Politikum, denn Corelli könnte Kontakte zum NSU gehabt haben.---  Er starb, bevor die Ermittler ihn zu einem Datenträger befragen konnten, der von Corelli stammte und auf dem schon vor Jahren von einem ,,Nationalsozialistischen Untergrund"" die Rede war.",SZ,Germany,2015,"security forces;terrorists, rebels, revolutionaries and/or movements of armed resistance",profession;social_deviance
6762,"Und Krieger müssen Krieg führen.---Rambo gewinnt immer, aber es zählt nie.",Welt,Germany,2008,,
5198,"Il se reprend aussitôt : « Je n'aime pas le manichéisme, opposer les bons et les méchants, ce n'est pas adapté à la vie publique.",Parisien,France,2000,,
2125,In Las Vegas jedenfalls hatte Abraham gegen Ramirez mit seinen mexikanischen Fans im Rücken nicht den Hauch  einer Chance.,FAZ,Germany,2021,,
3012,"Les visiteurs y verront les tableaux de la donation Changeux, mécène qui a déjà donné vingt tableaux auxquels s'ajoutent sept dépôts prêtés.",Parisien,France,2000,,
6688,Insbesondere die der Frauen?,Zeit,Germany,1995,women,identities
3483,"Pour l'être à domicile, il va falloir opérer un sacré redressement, puisque les Bleus stagnent à la 8",Figaro,France,2017,athletes,profession
2885,Die trägt den Titel »Beyond Fame« und präsentiert eine ganze Riege illus­trer Hobbymaler.,Spiegel,Germany,2023,authors and artists,profession
7772,"Was sagt der Fan von Lee Scratch Perry, wenn der Rausch nachlässt: »Mach die schreckliche Musik aus!«",Spiegel,Germany,2023,,
3285,"La gauche socialiste souhaite, dans sa lettre hebdomadaire, ' une vague gigantesque ' pour ' démontrer ' que ' la gauche et le mouvement ouvrier ne sont pas vaincus '.",Figaro,France,2002,politicians and high-ranking officials;wage and salary earners,labor_market_position;profession
2971,"Stena International est entré à hauteur de 18 % dans le capital de Coflexip, aux côtés des actionnaires français antérieurs : Isis (16 %), Scor (8 %) et Elf Aquitaine par l'intermédiaire de ses filiales (8 %), soit un total de 32 %.",Monde,France,1995,"CEOs and corporate leaders;capital owners, investors and shareholders",labor_market_position;socio_economic_position
1227,"Sie sind die einzigen, die diese Grenze passieren dürfen - abgesehen von wenigen Syrern aus dem besetzten Teil der Golanhöhen, die unter Vermittlung des Roten Kreuzes von der israelischen Seite die Genehmigung erhalten, Richtung Kuneitra auszureisen.",Zeit,Germany,1995,,
7590,"Besonders der Grundsatz, daß der informed consent, also die wohlinformierte Zustimmung, einer jeden Versuchsperson eingeholt werden muß, stellt keine eindeutige Handlungsmaxime dar.",Zeit,Germany,1995,,
5365,"Alors que ses 300 000 agents non enseignants menaçaient de partir en guerre dès septembre, l'entourage de Jack Lang leur a proposé de considérer les dix semaines de congé ' d'usage ' comme un acquis intangible.",Figaro,France,2001,wage and salary earners,labor_market_position
97,"Ob Equity Partners überhaupt Expertise auf diesem Gebiet hat, ist nicht bekannt.",Welt,Germany,2008,,
7400,"Lipsky macht darum einen ziemlichen Eiertanz, und Wallace lässt  ihn geschickt auflaufen: Als es etwa um die Anonymen Alkoholiker geht, die eine bedeutende Rolle im Roman ""Infinite Jest"" spielen, sagt der Autor kühl, er wisse darüber nur Dinge aus zweiter  Hand.",FAZ,Germany,2021,drug addicts,social_deviance
6681,"---Der Polizeisprecher: ""Zum genauen Verletzungsbild der Geschädigten können derzeit keine Angaben gemacht werden.""",Bild,Germany,2022,,
3827,"A une époque où le talent ne pouvait éclore s'il n'était pas social et estampillé de gauche, Tati raconte des histoires d'idiots de village et de naïfs timides où la politique est toujours entre parenthèses.",Figaro,France,2002,,
5629,"Er kennt die Gefahren, die ein starker Kader mit sich bringt - und das nicht nur, weil seine Spieler wissen, dass er über den Sommer hinaus nicht ihr Trainer sein wird.",Welt,Germany,2008,athletes,profession
9351,"

Après l'annus horribilis 2017 et une année 2018 vécue dans une indifférence quasi générale, le PS verrait-il le bout du tunnel à l'approche des européennes ?",Liberation,France,2000,politicians and high-ranking officials,profession
7801,"---Nach den Länderspielen hatten die Roten eine gute Trainingswoche: ""Intensität war sehr gut in der Woche.",Bild,Germany,2022,athletes,profession
3232,"­ A Pontoise du 3 au 7 avril pour les plus de 15 ans et du 10 au 14 avril pour les moins de 15 ans, Maison des associations de Pontoise, 7, place du Petit-Martroy.",Parisien,France,2000,"minors, including children and pupils",age_and_family_status
8708,"«A
18 ans, j’étais persuadée que l’égalité entre hommes et femmes était acquise, raconte Maud Gelly, jeune médecin et militante du Collectif national pour les droits des femmes (CNDF).",MondeDiplo,France,2007,men,identities
8873,"Lorsque le PP débute sa gestion, en 1996, on compte un demi-million d’étrangers ; ils seront plus de 2 500 000 lorsqu’il la termine.",MondeDiplo,France,2004,politicians and high-ranking officials,profession
2931,"Les hommes du LTTE ont ainsi tué, le 1e janvier, les deux occupants d'un fortin de l'armée sur l'îlot de Mandativu, au nord du pays.",Monde,France,1995,"terrorists, rebels, revolutionaries and/or movements of armed resistance",social_deviance
1018,"»Wie soll ich in Peking überleben, wenn ich sie herunterschraube?« Sie werde sich die Zeit nehmen, etwas Passendes zu finden.---Andere Altersgenossen reagieren auf die frustrierende Lage mit Rückzug.",Spiegel,Germany,2023,,
4735,"Didier Caignard espère que ses joueurs sauront se hisser au niveau de leurs adversaires, comme à l'aller.",Parisien,France,2000,athletes,profession
7584,"In manchen Gemeinden Brandenburgs ist nur die freiwillige Feuerwehr noch da, wenn alle anderen weg sind   Bäcker, Kneipe, Postamt, Jugendklub, Kirchenchor.",Spiegel,Germany,2023,"other professions;youth, including students and apprentices",age_and_family_status;profession
7021,Für das Publikum ist er seit den siebziger Jahren der Multi der Kunst.,Zeit,Germany,1995,consumers and clients,social_roles_and_behavior
1929,"---Es gibt zwei Wege, wie der einzelne Bürger des Südens in den Genuss der Institutionen des Nordens kommt.",FAZ,Germany,2021,,
351,Der grüne Ministerkandidat Michael Vesper spürt das Kuriose solcher Debatten.,Zeit,Germany,1995,,
5166,"Françoise de Panafieu, députée RPR de Paris, « Club de la presse », Europe 1, 18 heures.",Parisien,France,2000,politicians and high-ranking officials,profession
